其他地区,#genre#
Animax (720p),https://cdn.us195.jpnettv.live/jptv/janimax_720/playlist.m3u8
Animax Asia (Vietnamese Subs) (720p),https://livecdn.fptplay.net/hda3/animaxport_vhls.smil/playlist.m3u8
Anime TV (360p) [Not 24/7],https://stmv1.srvif.com/animetv/animetv/playlist.m3u8
AT-X (720p),https://sub.neetball.net/live/neet.m3u8
BS 12 (480p),http://redlabmcdn.s.llnwi.net/nv02/bs08hd/index.m3u8
BS Asahi (720p),http://cdn.us195.jpnettv.live:1935/jptv/bsasahi_720/playlist.m3u8
BS Fuji TV (720p),http://cdn.us195.jpnettv.live:1935/jptv/bsfuji_720/playlist.m3u8
BS Nippon TV (720p),http://cdn.us195.jpnettv.live:1935/jptv/bsnihontv_720/playlist.m3u8
BS TBS (720p),http://cdn.us195.jpnettv.live:1935/jptv/bstbs_720/playlist.m3u8
BS TV Tokyo (720p) [Not 24/7],http://cdn.us195.jpnettv.live:1935/jptv/bsjapan_720/playlist.m3u8
CGNTV,http://cgntv-glive.ofsdelivery.net/live/_definst_/cgntv_jp/playlist.m3u8
Disney Channel Japan (540p) [Not 24/7],https://cdn.us195.jpnettv.live/jptv/disney_channel/playlist.m3u8
Disney Junior Japan (540p) [Not 24/7],https://cdn.us195.jpnettv.live/jptv/disney_junior/playlist.m3u8
Eisei Gekijo (540p) [Not 24/7],https://cdnv148.cloudrsst.com/jptv/gekijjyou/playlist.m3u8
Family Gekijo (540p) [Not 24/7],https://cdn.us195.jpnettv.live/jptv/gekijjyou/playlist.m3u8
Fuji TV (480p),http://redlabmcdn.s.llnwi.net/nv02/ryowa7hd/index.m3u8
GSTV (720p),https://gstv-tnz-gsmediastreaming.preview-jpea.channel.media.azure.net/dfd06b62-e9d1-4a7f-bcbb-89d2ecbc82ee/preview.ism/manifest(format=mpd-time-csf,audio-only=false)
Gunma TV (720p),https://movie.mcas.jp/switcher/smil:mcas8.smil/master.m3u8
J Sports 1 (480p) [Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/bs15hd/index.m3u8
J Sports 2 (480p) [Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/bs11hd/index.m3u8
J Sports 3 (480p) [Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/bs12hd/index.m3u8
J Sports 4 (720p) [Not 24/7],http://cdnv148.cloudrsst.com:1935/jptv/jsports1_720/playlist.m3u8
Jidaigeki Senmon Channel (540p),https://cdnv148.cloudrsst.com/jptv/jidaigeki_540/playlist.m3u8
Kids Station (540p) [Not 24/7],https://cdn.us195.jpnettv.live/jptv/jkids_540/playlist.m3u8
Movie Plus (540p),http://cdn.us195.jpnettv.live:1935/jptv/movieplus_540/playlist.m3u8
MTV Japan (540p) [Not 24/7],http://cdn.us195.jpnettv.live:1935/jptv/mtv/playlist.m3u8
Neco (540p),https://cdnv148.cloudrsst.com/jptv/Neco/playlist.m3u8
NHK BS1 (720p),http://cdn.us195.jpnettv.live:1935/jptv/nhkbs1_720/playlist.m3u8
NHK BSP (720p),http://cdn.us195.jpnettv.live:1935/jptv/bspremium_720/playlist.m3u8
NHK E (480p) [Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/ryowa1hd/index.m3u8
NHK G (480p) [Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/ryowa2hd/index.m3u8
