其他地区,#genre#
BBS Buddhist Broadcasting (1080p),http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8
BTN TV (1080p),http://btn.nowcdn.co.kr/btn/btnlive2m/playlist.m3u8
CBS (1080p),http://cbs-live.gscdn.com/cbs-live/cbs-live.stream/playlist.m3u8
CGNTV (720p),http://cgntv-glive.ofsdelivery.net/live/cgntv_kr01/playlist.m3u8
Channel A,http://han.ddkdxmkj.com/api/han123.php?id=15
CJ OnStyle (540p),https://live-ch1.cjonstyle.net/cjmalllive/stream2/playlist.m3u8
CJ OnStyle Plus (540p),https://live-ch2.cjonstyle.net/cjosplus/live2/playlist.m3u8
CTS기독교TV (720p),https://d34t5yjz1ooymj.cloudfront.net/out/v1/875039d5eba0478fa8375a06b3aa5a37/index.m3u8
EBS 1 (400p),http://ebsonair.ebs.co.kr/ebs1familypc/familypc1m/playlist.m3u8
EBS 2 (400p),http://ebsonair.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
EBS e (400p),http://ebsonair.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
EBS kids (400p),http://ebsonair.ebs.co.kr/ebsufamilypc/familypc1m/playlist.m3u8
EBS+ 1 (400p),http://ebsonair.ebs.co.kr/plus1familypc/familypc1m/playlist.m3u8
EBS+ 2 (400p),http://ebsonair.ebs.co.kr/plus2familypc/familypc1m/playlist.m3u8
Edaily TV (1080p) [Not 24/7],https://hls.youtb.workers.dev/channel/UC8Sv6O3Ux8ePVqorx8aOBMg.m3u8
GCN24 Korean (1080p) [Not 24/7],https://hls.youtb.workers.dev/channel/UCqGxkgVnPc7arUR7MdCi99g.m3u8
Golf & PBA (540p),http://mytv.dothome.co.kr/ch/catv/25.php
Gongyoung Shopping (720p),https://etv.publichs.com/live5.stream/playlist.m3u8
GS My Shop (1080p),https://gstv-myshop.gsshop.com/myshop_hd/myshop_hd.stream/playlist.m3u8
GugakTV 국악방송 (1080p),http://mgugaklive.nowcdn.co.kr/gugakvideo/gugakvideo.stream/playlist.m3u8
Gugbang TV (1080p) [Not 24/7],http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
Home & Shopping (720p),https://s28.qtcdn.co.kr/media/liveM3U8/idx/518045142/enc/1860408350/playlist.m3u8
Hyundai Home Shopping (720p),https://livejj.hyundaihmall.com:8443/live/ngrp:hmall.stream_pc/playlist.m3u8
Hyundai Home Shopping Plus (720p),https://dtvstreaming.hyundaihmall.com/newcjp3/_definst_/newcjpstream.smil/playlist.m3u8
KBS1 (720p),http://ye23.vip/z7z8/2021/kbs2020.php?id=1
KBS2 (720p) [Not 24/7],http://ye23.vip/z7z8/2021/kbs2020.php?id=2
KBS Drama (480p),http://ye23.vip/z7z8/2021/kbs2020.php?id=5
KBS Joy (480p),http://ye23.vip/z7z8/2021/kbs2020.php?id=6
KBS Kids (480p),http://ye23.vip/z7z8/2021/kbs2020.php?id=9
KBS Life (480p),http://ye23.vip/z7z8/2021/kbs2020.php?id=7
KBS LiveCam DokDo (540p),http://kbs-dokdo.gscdn.com/dokdo_300/dokdo_300.stream/playlist.m3u8
KBS News D (720p),http://ye23.vip/z7z8/2021/kbs2020.php?id=4
KBS Story (480p),http://ye23.vip/z7z8/2021/kbs2020.php?id=8
KBS World (Vietnamese Subtitles) (720p),https://livecdn.fptplay.net/sdb/kbs_hls.smil/playlist.m3u8
KCTV 광주 CH05 (720p) [Not 24/7],http://119.77.96.184:1935/chn05/chn05/playlist.m3u8
KMTV,https://kmtvnow-samsung-us.plex.wurl.tv/playlist.m3u8
Korean Central Television (KCTV) (576p),https://tv.nknews.org/tvdash/stream.mpd
KpopTV Play (720p) [Not 24/7],https://srv1.zcast.com.br/kpoptv/kpoptv/playlist.m3u8
KShopping,https://fhs8036.bd-61.ktcdn.co.kr/klive/smil:klive.smil/playlist.m3u8
Lighting Lives Blessing Nations TV Korean (LLBN) (480p),https://brightstar-korean.secure.footprint.net/egress/bhandler/brightstar/brightstarKorean/manifest.m3u8
Lotte Home Shopping (720p),https://pchlslivesw.lotteimall.com/live/livestream/lotteimalllive_mp4.m3u8
